#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               512                 1          0.894453         0.0102871
               513                 1          0.894659         0.0102691
               514                 1          0.894864         0.0102511
               515                 1          0.895068         0.0102333
               516                 1          0.895271         0.0102155
               517                 1          0.895474         0.0101977
               518                 1          0.895676           0.01018
               519                 1          0.895877         0.0101624
               520                 1          0.896077         0.0101448
               521                 1          0.896276         0.0101273
               522                 1          0.896475         0.0101098
               523                 1          0.896673         0.0100925
               524                 1           0.89687         0.0100751
               525                 1          0.897067         0.0100578
               526                 1          0.897262         0.0100406
               527                 1          0.897457         0.0100235
               528                 1          0.897652         0.0100064
               529                 1          0.897845        0.00998932
               530                 1          0.898038        0.00997233
               531                 1           0.89823         0.0099554
               532                 1          0.898421        0.00993852
               533                 1          0.898612         0.0099217
               534                 1          0.898801        0.00990494
               535                 1          0.898991        0.00988823
               536                 1          0.899179        0.00987158
               537                 1          0.899367        0.00985498
               538                 1          0.899554        0.00983844
               539                 1           0.89974        0.00982195
               540                 1          0.899926        0.00980552
               541                 1          0.900111        0.00978914
               542                 1          0.900295        0.00977281
               543                 1          0.900479        0.00975654
               544                 1          0.900662        0.00974032
               545                 1          0.900844        0.00972415
               546                 1          0.901026        0.00970804
               547                 1          0.901207        0.00969197
               548                 1          0.901387        0.00967596
               549                 1          0.901566        0.00966001
               550                 1          0.901745         0.0096441
               551                 1          0.901924        0.00962825
               552                 1          0.902101        0.00961244
               553                 1          0.902278        0.00959669
               554                 1          0.902455        0.00958099
               555                 1          0.902631        0.00956534
               556                 1          0.902806        0.00954974
               557                 1           0.90298        0.00953419
               558                 1          0.903154        0.00951869
               559                 1          0.903327        0.00950323
               560                 1            0.9035        0.00948783
               561                 1          0.903672        0.00947248
               562                 1          0.903843        0.00945717
               563                 1          0.904014        0.00944192
               564                 1          0.904184        0.00942671
               565                 1          0.904354        0.00941155
               566                 1          0.904523        0.00939644
               567                 1          0.904691        0.00938138
               568                 1          0.904859        0.00936636
               569                 1          0.905026        0.00935139
               570                 1          0.905193        0.00933647
               571                 1          0.905359         0.0093216
               572                 1          0.905524        0.00930677
               573                 1          0.905689        0.00929199
               574                 1          0.905854        0.00927725
               575                 1          0.906017        0.00926256
               576                 1          0.906181        0.00924792
               577                 1          0.906343        0.00923332
               578                 1          0.906505        0.00921877
               579                 1          0.906667        0.00920426
               580                 1          0.906828        0.00918979
               581                 1          0.906988        0.00917538
               582                 1          0.907148          0.009161
               583                 1          0.907307        0.00914667
               584                 1          0.907466        0.00913239
               585                 1          0.907624        0.00911815
               586                 1          0.907782        0.00910395
               587                 1          0.907939         0.0090898
               588                 1          0.908095        0.00907569
               589                 1          0.908251        0.00906162
               590                 1          0.908407        0.00904759
               591                 1          0.908562        0.00903361
               592                 1          0.908716        0.00901967
               593                 1           0.90887        0.00900578
               594                 1          0.909024        0.00899192
               595                 1          0.909176        0.00897811
               596                 1          0.909329        0.00896434
               597                 1          0.909481        0.00895061
               598                 1          0.909632        0.00893692
               599                 1          0.909783        0.00892328
               600                 1          0.909933        0.00890967
               601                 1          0.910083        0.00889611
               602                 1          0.910233        0.00888258
               603                 1          0.910381         0.0088691
               604                 1           0.91053        0.00885566
               605                 1          0.910678        0.00884225
               606                 1          0.910825        0.00882889
               607                 1          0.910972        0.00881557
               608                 1          0.911118        0.00880228
               609                 1          0.911264        0.00878904
               610                 1           0.91141        0.00877584
               611                 1          0.911555        0.00876267
               612                 1          0.911699        0.00874954
               613                 1          0.911843        0.00873646
               614                 1          0.911987        0.00872341
               615                 1           0.91213         0.0087104
               616                 1          0.912273        0.00869742
               617                 1          0.912415        0.00868449
               618                 1          0.912557        0.00867159
               619                 1          0.912698        0.00865873
               620                 1          0.912839        0.00864591
               621                 1          0.912979        0.00863313
               622                 1          0.913119        0.00862038
               623                 1          0.913258        0.00860768
               624                 1          0.913397          0.008595
               625                 1          0.913536        0.00858237
               626                 1          0.913674        0.00856977
               627                 1          0.913812        0.00855721
               628                 1          0.913949        0.00854468
               629                 1          0.914086        0.00853219
               630                 1          0.914222        0.00851974
