#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
               710           166.667           149.147           1.71721
               711           166.667           149.171           1.71497
               712           166.667           149.196           1.71274
               713           166.667            149.22           1.71051
               714           166.667           149.245           1.70829
               715           166.667           149.269           1.70608
               716           166.667           149.293           1.70387
               717           166.667           149.318           1.70166
               718           166.667           149.342           1.69946
               719           166.667           149.366           1.69727
               720           166.667            149.39           1.69508
               721           166.667           149.414            1.6929
               722           166.667           149.438           1.69073
               723           166.667           149.462           1.68855
               724           166.667           149.485           1.68639
               725           166.667           149.509           1.68423
               726           166.667           149.533           1.68208
               727           166.667           149.556           1.67993
               728           166.667            149.58           1.67778
               729           166.667           149.603           1.67565
               730           166.667           149.627           1.67351
               731           166.667            149.65           1.67139
               732           166.667           149.673           1.66927
               733           166.667           149.696           1.66715
               734           166.667            149.72           1.66504
               735           166.667           149.743           1.66293
               736           166.667           149.766           1.66083
               737           166.667           149.789           1.65874
               738           166.667           149.811           1.65665
               739           166.667           149.834           1.65456
               740           166.667           149.857           1.65248
               741           166.667            149.88           1.65041
               742           166.667           149.902           1.64834
               743           166.667           149.925           1.64627
               744           166.667           149.947           1.64422
               745           166.667            149.97           1.64216
               746           166.667           149.992           1.64011
               747           166.667           150.014           1.63807
               748           166.667           150.037           1.63603
               749           166.667           150.059             1.634
               750           166.667           150.081           1.63197
               751           166.667           150.103           1.62995
               752           166.667           150.125           1.62793
               753           166.667           150.147           1.62591
               754           166.667           150.169            1.6239
               755           166.667           150.191            1.6219
               756           166.667           150.213            1.6199
               757           166.667           150.234           1.61791
               758           166.667           150.256           1.61592
               759           166.667           150.278           1.61393
               760           166.667           150.299           1.61195
               761           166.667           150.321           1.60998
               762           166.667           150.342           1.60801
               763           166.667           150.364           1.60604
               764           166.667           150.385           1.60408
               765           166.667           150.406           1.60213
               766           166.667           150.428           1.60018
               767           166.667           150.449           1.59823
               768           166.667            150.47           1.59629
               769           166.667           150.491           1.59435
               770           166.667           150.512           1.59242
               771           166.667           150.533           1.59049
               772           166.667           150.554           1.58857
               773           166.667           150.575           1.58665
               774           166.667           150.595           1.58474
               775           166.667           150.616           1.58283
               776           166.667           150.637           1.58092
               777           166.667           150.657           1.57902
               778           166.667           150.678           1.57713
               779           166.667           150.699           1.57524
               780           166.667           150.719           1.57335
               781           166.667           150.739           1.57147
               782           166.667            150.76           1.56959
               783           166.667            150.78           1.56772
               784           166.667             150.8           1.56585
               785           166.667           150.821           1.56399
               786           166.667           150.841           1.56213
               787           166.667           150.861           1.56027
               788           166.667           150.881           1.55842
               789           166.667           150.901           1.55657
               790           166.667           150.921           1.55473
               791           166.667           150.941           1.55289
               792           166.667           150.961           1.55106
               793           166.667            150.98           1.54923
               794           166.667               151            1.5474
               795           166.667            151.02           1.54558
               796           166.667            151.04           1.54377
               797           166.667           151.059           1.54195
               798           166.667           151.079           1.54014
               799           166.667           151.098           1.53834
               800           166.667           151.118           1.53654
               801           166.667           151.137           1.53475
               802           166.667           151.156           1.53295
               803           166.667           151.176           1.53117
               804           166.667           151.195           1.52938
               805           166.667           151.214            1.5276
               806           166.667           151.233           1.52583
               807           166.667           151.253           1.52406
               808           166.667           151.272           1.52229
               809           166.667           151.291           1.52053
               810           166.667            151.31           1.51877
               811           166.667           151.329           1.51702
               812           166.667           151.347           1.51526
               813           166.667           151.366           1.51352
               814           166.667           151.385           1.51178
               815           166.667           151.404           1.51004
               816           166.667           151.423            1.5083
               817           166.667           151.441           1.50657
               818           166.667            151.46           1.50484
               819           166.667           151.478           1.50312
               820           166.667           151.497            1.5014
               821           166.667           151.515           1.49969
               822           166.667           151.534           1.49798
               823           166.667           151.552           1.49627
               824           166.667           151.571           1.49457
               825           166.667           151.589           1.49287
               826           166.667           151.607           1.49117
               827           166.667           151.625           1.48948
               828           166.667           151.643           1.48779
               829           166.667           151.662           1.48611
               830           166.667            151.68           1.48443
               831           166.667           151.698           1.48275
               832           166.667           151.716           1.48108
               833           166.667           151.734           1.47941
               834           166.667           151.752           1.47774
               835           166.667           151.769           1.47608
               836           166.667           151.787           1.47442
               837           166.667           151.805           1.47277
               838           166.667           151.823           1.47112
               839           166.667            151.84           1.46947
               840           166.667           151.858           1.46783
               841           166.667           151.876           1.46619
               842           166.667           151.893           1.46455
               843           166.667           151.911           1.46292
               844           166.667           151.928           1.46129
               845           166.667           151.946           1.45966
               846           166.667           151.963           1.45804
               847           166.667            151.98           1.45642
               848           166.667           151.998           1.45481
               849           166.667           152.015            1.4532
               850           166.667           152.032           1.45159
