#     BLOCK:  ACTUAL_I:     I_AVE:      ERROR:
               593       -0.00280697        0.00977937       0.000780426
               594         0.0233693        0.00980225       0.000779447
               595          0.015125         0.0098112       0.000778189
               596          0.029124         0.0098436       0.000777557
               597         0.0139564        0.00985049       0.000776286
               598         0.0312644         0.0098863       0.000775813
               599        -0.0185897        0.00983876       0.000775973
               600       -0.00848822        0.00980821        0.00077528
               601         0.0347329        0.00984969       0.000775099
               602        -0.0017062        0.00983049       0.000774049
               603         0.0266862        0.00985844        0.00077327
               604        -0.0195425        0.00980977        0.00077352
               605       -0.00256501        0.00978931       0.000772512
               606        0.00363079        0.00977915       0.000771304
               607         0.0256917        0.00980536       0.000770479
               608         0.0330679        0.00984363       0.000770161
               609        -0.0136763        0.00980501       0.000769864
               610         0.0111176        0.00980716       0.000768605
               611         0.0222562        0.00982753       0.000767617
               612      -0.000809737        0.00981015        0.00076656
               613         0.0115614        0.00981301       0.000765314
               614       -0.00120511        0.00979506       0.000764278
               615         0.0182033        0.00980873       0.000763158
               616       -0.00290851        0.00978809       0.000762198
               617       -0.00337585        0.00976675       0.000761261
               618          -0.00771        0.00973847       0.000760555
               619         0.0218028        0.00975796       0.000759576
               620          0.044871         0.0098146       0.000760459
               621       -0.00990217        0.00978285       0.000759897
               622         0.0391099           0.00983       0.000760137
               623         0.0163144        0.00984041       0.000758988
               624         0.0267314        0.00986748       0.000758254
               625         0.0181399        0.00988071       0.000757156
               626         0.0201137        0.00989706       0.000756123
               627        0.00922414        0.00989598       0.000754918
               628         0.0181165        0.00990907       0.000753829
               629       -0.00556373        0.00988448       0.000753032
               630       -0.00751453        0.00985686       0.000752343
               631       -0.00708389        0.00983001        0.00075163
               632         0.0481428        0.00989063       0.000752881
               633         0.0227252        0.00991091       0.000751965
               634         0.0030994        0.00990016       0.000750855
               635         0.0317882        0.00993463       0.000750464
               636        0.00338721        0.00992434       0.000749354
               637         0.0219297        0.00994319       0.000748415
               638         0.0154882        0.00995188       0.000747292
               639         -0.010142        0.00992043       0.000746784
               640         0.0315954         0.0099543       0.000746385
               641        -0.0209315        0.00990611       0.000746774
               642        0.00425766        0.00989732       0.000745663
               643         0.0360361        0.00993797        0.00074561
               644        -0.0189219        0.00989315       0.000745798
               645         0.0395082        0.00993907       0.000746054
               646       0.000313643        0.00992417       0.000745048
               647         0.0267858        0.00995023       0.000744352
               648         0.0345864        0.00998825       0.000744173
               649         0.0146895        0.00999549       0.000743062
               650        0.00456011        0.00998713       0.000741966
               651          0.028285         0.0100152       0.000741358
               652        0.00138347          0.010002        0.00074034
               653        0.00717011        0.00999766       0.000739218
