# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
        4.88       0.006    0.211857   0.0858342
        5.04       0.007    0.165429   0.0749121
         5.2       0.015   0.0619286   0.0328923
        5.36       0.022   0.0502857   0.0431119
        5.52       0.729      0.1215   0.0694612
        5.68        0.99   0.0766429   0.0678007
        5.84       0.215   0.0899286    0.042521
           6       0.314   0.0912143    0.042691
        6.16           0   0.0270714   0.0185578
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08       0.137      0.0094  0.00880697
        0.24       0.484   0.0621333    0.031298
         0.4       1.597    0.366867    0.104841
        0.56       1.221     1.09907    0.165334
        0.72       2.364     1.52273    0.237115
        0.88       2.467     1.87447    0.212821
        1.04       2.655     2.25907    0.374478
         1.2       3.664     3.11013    0.430689
        1.36       6.476     4.68407    0.582659
        1.52       5.447      4.7398    0.639423
        1.68       4.357     4.45313    0.481793
        1.84       6.554     5.41887    0.512466
           2       7.196     6.54053    0.604484
        2.16       5.554      7.1228    0.563981
        2.32       6.947     11.7661     2.65162
        2.48       5.909     8.31153    0.951411
        2.64       7.043      10.712     2.20552
         2.8       5.615     6.50573    0.499382
        2.96       7.719     5.65287    0.396085
        3.12       5.874      4.5428     0.38558
        3.28       4.866      4.0532    0.416701
        3.44       2.756     3.11213     0.34797
         3.6       3.019       2.226    0.237774
        3.76       1.298     1.86313    0.297891
        3.92       0.632     1.84347    0.309974
        4.08       2.058      1.2874    0.201275
        4.24       1.417    0.806667    0.116523
         4.4       0.651    0.413533   0.0969317
        4.56       0.011      0.3672    0.101162
        4.72       0.012    0.303733    0.080364
        4.88           0    0.197733   0.0812656
        5.04           0      0.1544   0.0707251
         5.2       0.014   0.0587333   0.0308543
        5.36        0.18   0.0589333   0.0410959
        5.52       0.634    0.155667   0.0727498
        5.68       0.773    0.123067   0.0775624
        5.84       0.297    0.103733   0.0418672
           6       0.102   0.0919333    0.039851
        6.16           0   0.0252667   0.0174082
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08       0.002   0.0089375  0.00826867
        0.24       0.105   0.0648125   0.0294563
         0.4       0.411    0.369625   0.0983245
        0.56        1.35     1.11475    0.155742
        0.72       1.331     1.51075    0.222598
        0.88       3.032     1.94681    0.211459
        1.04       4.338       2.389    0.372934
         1.2       5.885     3.28356    0.437297
        1.36       6.842     4.81894    0.561635
        1.52       7.686     4.92394    0.625411
        1.68       5.899      4.5435    0.460078
        1.84       7.108     5.52444    0.491191
           2       5.206     6.45713     0.57243
        2.16       4.094      6.9335    0.559601
        2.32       4.565      11.316      2.5238
        2.48        4.22     8.05581    0.925677
        2.64       6.706     10.4616     2.08183
         2.8       7.701     6.58044    0.473725
        2.96       6.458     5.70319    0.374513
        3.12       3.406     4.47175    0.367969
        3.28       3.394       4.012    0.392689
        3.44       4.553     3.20219    0.337674
         3.6        3.62     2.31312    0.238342
        3.76       1.656     1.85019    0.279554
        3.92       1.324       1.811    0.292296
        4.08       2.083     1.33712    0.194741
        4.24       2.117    0.888562    0.134986
         4.4       0.609     0.42575   0.0916401
        4.56       0.058    0.347875   0.0966675
        4.72       0.019    0.285937   0.0772865
        4.88       0.165    0.195687   0.0762123
        5.04       0.057    0.148313   0.0665663
         5.2           0   0.0550625   0.0291434
        5.36       0.574    0.091125    0.049557
        5.52        0.75    0.192812   0.0771052
        5.68       0.135    0.123813   0.0727184
        5.84       0.017   0.0983125   0.0395999
           6       0.448    0.114187   0.0431287
        6.16       0.076   0.0284375   0.0166064
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0  0.00841176  0.00779897
        0.24           0       0.061   0.0279692
         0.4        1.28    0.423176    0.106127
        0.56       0.845     1.09888    0.147387
        0.72       1.289     1.49771    0.209886
        0.88        4.23     2.08112    0.237878
        1.04       3.388     2.44776    0.355596
         1.2       4.637     3.36318    0.418758
        1.36        6.11     4.89488    0.533708
        1.52       8.332     5.12441     0.61992
        1.68       6.011     4.62982    0.441038
        1.84       7.229     5.62471     0.47242
           2       6.997     6.48888    0.539638
        2.16       4.538     6.79259    0.544135
        2.32       6.274     11.0194     2.39271
        2.48       5.092     7.88147    0.887491
        2.64       6.114     10.2059     1.97502
         2.8       7.118     6.61206    0.446913
        2.96       5.228     5.67524    0.353524
        3.12       3.638     4.42271    0.349577
        3.28       2.202     3.90553    0.383752
        3.44       3.871     3.24153    0.320095
         3.6       2.992     2.35306    0.227642
        3.76       1.195     1.81165    0.265753
        3.92       2.799     1.86912     0.28082
        4.08        0.92     1.31259    0.184825
        4.24       0.499    0.865647    0.128976
         4.4       0.484    0.429176   0.0863135
        4.56       0.455    0.354176   0.0911863
