# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
           1.30667             4.394            3.5816           0.17433
              1.36              3.99            3.6872          0.129206
           1.41333             3.324           3.51493          0.154629
           1.46667             3.244           3.30547          0.128092
              1.52             2.842           3.15173          0.142199
           1.57333             2.728           3.07627          0.106068
         0.0266667                 0            0.0035        0.00139754
              0.08                 0          0.028375         0.0101846
          0.133333             0.034          0.076375         0.0175011
          0.186667              0.04          0.129125         0.0253494
              0.24             0.104           0.21425         0.0283719
          0.293333              0.16           0.34875         0.0443011
          0.346667             0.548          0.491125          0.049177
               0.4               0.5          0.771125         0.0739632
          0.453333             0.426           1.06087         0.0762772
          0.506667             0.536           1.40288          0.132572
              0.56             0.714           1.67587          0.163883
          0.613333             1.032           1.78212          0.143413
          0.666667             2.034           1.82337         0.0893439
              0.72             1.768           2.12875          0.117454
          0.773333             1.874           2.34588          0.124922
          0.826667             2.348           2.66875          0.108665
              0.88             2.734           2.72025         0.0767235
          0.933333             2.428           2.86975         0.0748354
          0.986667             3.762           3.44225          0.154011
              1.04             2.602           3.38675          0.258861
           1.09333              3.29           3.49987          0.223174
           1.14667              4.79           3.81687          0.245185
               1.2             3.792           3.95275          0.298792
           1.25333              4.28           3.94838          0.235283
           1.30667              3.46             3.574            0.1636
              1.36              3.13           3.65238          0.125736
           1.41333              3.56           3.51775           0.14499
           1.46667             3.746             3.333           0.12301
              1.52              3.36           3.16475          0.133906
           1.57333              3.07           3.07587         0.0994398
         0.0266667                 0        0.00329412        0.00133041
              0.08              0.01         0.0272941        0.00964267
          0.133333              0.06         0.0754118         0.0164981
          0.186667             0.084          0.126471         0.0239968
              0.24              0.08          0.206353         0.0277803
          0.293333             0.112          0.334824         0.0438295
          0.346667             0.322          0.481176         0.0472798
               0.4             0.482          0.754118         0.0715411
          0.453333             0.466           1.02588         0.0794123
          0.506667             0.854           1.37059          0.128645
              0.56              1.16           1.64553          0.157027
          0.613333             1.582           1.77035          0.135459
          0.666667             2.428           1.85894         0.0908923
              0.72             2.186           2.13212          0.110593
          0.773333              1.82           2.31494          0.121343
